Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
453136674548030,Share Post,Political Academy Private Limited,105360,219
109545244848137,Crafto,Crafto,94413,16
302728832916209,Designbox Consulting,DZINE BOX CONSULTING SOLUTION,60646,49
178957415290260,Gaddam Vamsi Krishna,Gaddam Vamsi Krishna,55301,19
123009097558229,Meme Marthanda,Meme Marthanda,47595,43
126785877176993,Karma Rescue Foundation,Karma Foundation,44007,25
105671775473178,Jan Suraaj,Jan Suraaj,40051,7
248789231658233,Prashant Sudhakar Vaidya,Prashant Sudhakar Vaidya,38689,26
372940105900153,Post Karo,Political Academy Private Limited,34700,134
262567983616555,Vibrant Buildcon,Vibrant Buildcon,33932,162
100214898257722,Bhak Budbak - भक बुड़बक,Bhak Budbak - भक बुड़बक,33645,20
107334185444129,Charitism Global,Charitism Global,27661,5
139596459228626,Governance Matters India,Governance Matters India,25385,67
109590875527364,Apfeedback,Reachout analytics,21793,21
114700623558576,Praja App,Praja App,16386,46
623599270826838,Apps for Bharat,Alnico Tech Pvt Lts,12769,27
21169267101,Give,Give,12677,10
1123868381031481,Plastic Menace,Plastic Menace,11795,6
1372113536255110,डॉ. सुनिल कुमार दूबे,डॉ. सुनिल कुमार दूबे,10984,1
31867849201,News18,News18,10876,21
252027794243,Divya Bhaskar,Divya Bhaskar,10582,28
406845235849261,Prashasan Plus News,Prashasan Plus News,10062,2
57174592895,Gujarat Tourism,Gujarat Tourism,9959,4
132689140088396,smilefoundation,smilefoundation,9729,21
1426693067549816,Vivek Venkatswamy,Vivek Venkatswamy,9616,4
242306372290717,Shubhashray Housing India,Shubhashray Housing India,9175,8
2123298487931086,Dr. Papu Ram Dara,Dr. Papu Ram Dara,8984,29
294260637288,Dainik Bhaskar,Dainik Bhaskar,8549,12
347337386104390,Bode Ramachandra Yadav,Bode Ramachandra Yadav,8536,4
103776222630923,Sanjeev Arora,Sanjeev Arora,8492,40
295838520278211,Rajnetaapp,Rajnetaapp,8407,17
323851774155517,Polimart,Gumbo Tech Private Limited,8279,13
301485749713595,कॅन्सर उपचार जनजागृती,कॅन्सर उपचार जनजागृती,7445,1
477905192062917,Jan Suraaj Ummeed,Jansuraaj,7234,2
153891144797146,Uttam Kumar Reddy,Uttam Kumar Reddy,6734,11
102504465638528,Tarot_by_riya,Tarot_by_riya,6569,3
461339423736434,Digi Posters,RPA Venture LLC,5677,7
605390272841833,Shrirang Appa Barne,Shrirang Appa Barne,5545,34
197967870063295,Aryan Khan,Aryan Khan,5487,2
562953640224918,Tallwin Life National Scam,Tallwin Life National Scam,5370,3
1630290017226261,Dilip Jaiswal,Dilip Jaiswal,5326,3
109041964906656,Shishir Kumar,Shishir Kumar,4899,5
219254537932345,Telangana Nijam,Telangana Nijam,4782,8
110113242150204,ఆంధ్ర భవిష్యత్తు,Ap Feedback,4421,1
181343795352360,M. B. Patil,M. B. Patil,4310,6
251131981422581,UP ki Double Engine Raftaar,UP ki Double Engine Raftaar,4156,26
596873733505239,Vijay & PK Fan Club,Simple Sense Anayltics Private Limited,4055,4
102849068803791,Amaresh Rai,Amaresh Rai,4030,15
289040254302083,Nature Village जमुई-बिहार,Nature Village,4016,13
922534064468145,Capt. Jasvinder Meenu Beniwal,Capt. Jasvinder Meenu Beniwal,3995,9
109346508871647,Khushimahive,These ads ran without a disclaimer,3786,1
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,3763,3
544708905881409,Adv Harsimran Singh Ghuman,Adv Harsimran Singh Ghuman,3758,9
109058148857799,Business Ka Bhai Gautam Bhai,Business Ka Bhai Gautam Bhai,3741,4
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,3558,4
104340812422382,Addlab,Addlab,3546,4
994578073995343,B. L. Verma,B. L. Verma,3529,5
244406028752356,Neta shirts H,Neta shirts H,3523,1
110896362028145,Icons of India,Icons of India,3499,4
764169903692675,Randeep Singh Surjewala,Randeep Singh Surjewala,3414,52
541468472382773,Edappadi K Palaniswamy,Trends & Tactics,3356,1
1702469306668258,Ramvichar Netam,Ramvichar Netam,3310,65
114564771719790,Abhishek Singh,Abhishek Singh,3201,5
333503333190144,जयंत पर्व,Jayant Patil,3164,4
379784828740377,Doordarshan National (DD1),Doordarshan National (DD1),3100,11
197263703733023,Naveen Jindal,Naveen Jindal,3083,2
109881298609397,Someshthakre Offical,Someshthakre Offical,3055,2
428014347066247,Hasib Khan,Waltons Technology,3019,20
100358216168581,Sonu Singh,Sonu Singh,2926,2
100585059186821,Anagani Satya Prasad,Anagani Satya Prasad,2908,6
1106424342713011,महा MTB,Mumbai Tarun Bharat,2855,9
479787099071251,Vemireddy Prabhakar Reddy,Vemireddy Prabhakar Reddy,2789,1
1614689125343644,SILAII,SILAII,2772,2
102689209166309,एकसाथ एकनाथ  - Eksath Eknath,एकसाथ एकनाथ  - Eksath Eknath,2762,20
566299179893845,Narendra Singh Rajavat,Narendra Singh Rajavat,2704,4
112061804808512,Bihar State Sports Authority - BSSA,Bihar State Sports Authority - BSSA,2687,7
538004976071250,Vijay Thamizhagathin Nambikkai,Vijay Thamizhagathin Nambikkai,2589,5
165139916671778,Vishnu Deo Sai,Vishnu Deo Sai,2422,76
163767067146079,Uday India,Uday India,2418,1
308320032942247,Har Dil Ayodhya,Har Dil Ayodhya,2398,12
175767759847352,Janata Dal (United),Janata Dal (United),2378,3
487900651062073,दिशा निर्देश,दिशा निर्देश,2354,4
850194335049046,No Ficker,No Ficker,2352,3
1489647731256741,Dr Jitendra Singh,Dr Jitendra Singh,2340,9
