Location name,Amount spent (INR)
Andaman and Nicobar Islands,246
Andhra Pradesh,39244
Arunachal Pradesh,835
Assam,27054
Bihar,184557
Chandigarh,4256
Chhattisgarh,29753
Dadra and Nagar Haveli,1416
Delhi,57414
Goa,2253
Gujarat,99182
Haryana,45189
Himachal Pradesh,14524
Jammu and Kashmir,8142
Jharkhand,15932
Karnataka,50508
Kerala,17401
Lakshadweep,≤100
Madhya Pradesh,62252
Maharashtra,146737
Manipur,1292
Meghalaya,641
Mizoram,378
Nagaland,395
Odisha,33703
Puducherry,1624
Punjab region,53866
Rajasthan,67496
Sikkim,1246
Tamil Nadu,47034
Telangana,143945
Tripura,2208
Unknown,315
Uttar Pradesh,181067
Uttarakhand,23326
West Bengal,63470
